,NP-chunks
The_Thing_0,"[('This', 'DT'), ('thing', 'NN')]"
The_Thing_0,"[('inside', 'NN')]"
The_Thing_0,"[('an', 'DT'), ('imitation', 'NN')]"
The_Thing_0,"[('nobody', 'NN')]"
The_Thing_0,"[('John', 'NNP'), ('Carpenter', 'NNP')]"
The_Thing_0,"[('The', 'DT'), ('Thing', 'NNP')]"
The_Thing_0,"[('entertaining', 'JJ'), ('horror', 'NN')]"
The_Thing_0,"[('clever', 'NN')]"
The_Thing_0,"[('the', 'DT'), ('genre', 'NN')]"
The_Thing_0,"[('place', 'NN')]"
The_Thing_0,"[('the', 'DT'), ('Antarctic', 'NNP')]"
The_Thing_0,"[('the', 'DT'), ('movie', 'NN')]"
The_Thing_0,"[('a', 'DT'), ('group', 'NN')]"
The_Thing_0,"[('no', 'DT'), ('introduction', 'NN')]"
The_Thing_0,"[('mission', 'NN')]"
The_Thing_0,"[('existence', 'NN')]"
The_Thing_0,"[('a', 'DT'), ('pair', 'NN')]"
The_Thing_0,"[('base', 'NN')]"
The_Thing_0,"[('camp', 'NN')]"
The_Thing_0,"[('an', 'DT'), ('escaped', 'JJ'), ('dog', 'NN')]"
The_Thing_0,"[('The', 'DT'), ('Norwegians', 'NNP')]"
The_Thing_0,"[('the', 'DT'), ('dog', 'NN')]"
The_Thing_0,"[('way', 'NN')]"
The_Thing_0,"[('the', 'DT'), ('colony', 'NN')]"
The_Thing_0,"[('crazy', 'NN')]"
The_Thing_0,"[('dog', 'NN')]"
The_Thing_0,"[('a', 'DT'), ('shape-shifting', 'JJ'), ('alien', 'NN')]"
The_Thing_0,"[('organism', 'NN')]"
The_Thing_0,"[('the', 'DT'), ('physical', 'JJ'), ('form', 'NN')]"
The_Thing_0,"[('the', 'DT'), ('Americans', 'NNP')]"
The_Thing_0,"[('the', 'DT'), ('difference', 'NN')]"
The_Thing_0,"[('The', 'DT'), ('pack', 'NN')]"
The_Thing_0,"[('MacReady', 'NNP'), ('Kurt', 'NNP'), ('Russell', 'NNP')]"
The_Thing_0,"[('begin', 'NN')]"
The_Thing_0,"[('own', 'JJ'), ('survival', 'NN')]"
The_Thing_0,"[('brawn', 'NN')]"
The_Thing_0,"[('the', 'DT'), ('Thing', 'NNP')]"
The_Thing_0,"[('the', 'DT'), ('Thing', 'NNP')]"
The_Thing_0,"[('The', 'DT'), ('creature', 'NN')]"
The_Thing_0,"[('the', 'DT'), ('film', 'NN')]"
The_Thing_0,"[('Thirty', 'NNP')]"
The_Thing_0,"[('thousand', 'NN')]"
The_Thing_0,"[('a', 'DT'), ('spacecraft', 'NN')]"
The_Thing_0,"[('Earth', 'NNP')]"
The_Thing_0,"[('the', 'DT'), ('Antarctic', 'JJ'), ('ice', 'NN')]"
The_Thing_0,"[('The', 'DT'), ('Thing', 'NNP')]"
